Id,In_Degree,Out_Degree,Degree,year_copy,Case_ID
0,2,37,39,1915,"[237, 162]"
1,21,8,29,1917,"[243, 281]"
2,3,8,11,1969,"[395, 85]"
3,0,7,7,1926,"[268, 93]"
4,2,0,2,1889,"[132, 125]"
5,11,16,27,1924,"[266, 226]"
6,2,10,12,1994,"[510, 1319]"
8,2,1,3,1945,"[323, 588]"
12,13,14,27,1931,"[283, 691]"
14,0,2,2,1914,"[235, 276]"
15,36,12,48,1932,"[285, 452]"
17,14,30,44,1984,"[467, 638]"
19,10,1,11,1931,"[282, 514]"
20,6,4,10,1894,"[151, 139]"
21,2,10,12,1915,"[237, 159]"
23,0,0,0,2012,"[566, 1062]"
24,1,11,12,2001,"[532, 661]"
25,0,2,2,1890,"[133, 514]"
27,5,19,24,1913,"[226, 520]"
28,12,0,12,1890,"[134, 483]"
29,8,38,46,1984,"[467, 512]"
30,0,6,6,2015,"[574, 7451]"
31,4,1,5,1960,"[361, 278]"
35,0,9,9,1971,"[404, 1237]"
36,21,16,37,1905,"[198, 341]"
37,21,18,39,1958,"[358, 169]"
38,1,0,1,1974,"[418, 934]"
40,0,4,4,1984,"[469, 14]"
41,0,0,0,1904,"[196, 64]"
42,4,14,18,1937,"[300, 203]"
43,6,24,30,1999,"[527, 173]"
44,0,8,8,2009,"[556, 938]"
45,22,26,48,1914,"[232, 516]"
46,4,1,5,1888,"[124, 612]"
47,3,0,3,1986,"[474, 1050]"
48,11,4,15,1952,"[344, 174]"
49,0,0,0,1960,"[364, 506]"
50,2,9,11,1899,"[173, 38]"
51,1,3,4,1960,"[394, 836]"
52,12,32,44,1906,"[200, 22]"
53,2,1,3,1884,"[110, 558]"
54,2,9,11,1892,"[144, 104]"
55,0,9,9,2007,"[551, 264]"
56,0,6,6,1978,"[435, 1301]"
57,2,0,2,1960,"[364, 122]"
58,0,0,0,2015,"[575, 15]"
59,27,34,61,1918,"[246, 457]"
60,39,22,61,1899,"[174, 445]"
61,4,1,5,1957,"[353, 72]"
62,0,0,0,1964,"[378, 554]"
63,1,17,18,2007,"[549, 422]"
66,1,4,5,1973,"[414, 100]"
67,2,28,30,1979,"[440, 612]"
69,4,1,5,1885,"[116, 22]"
70,0,0,0,1968,"[392, 307]"
73,3,14,17,1919,"[248, 507]"
75,5,0,5,1974,"[415, 336]"
76,1,5,6,1895,"[156, 618]"
77,13,19,32,1952,"[343, 779]"
78,0,7,7,1893,"[150, 610]"
79,2,5,7,1896,"[162, 290]"
80,16,9,25,1961,"[366, 667]"
81,2,12,14,1906,"[200, 76]"
83,12,46,58,1978,"[434, 257]"
85,5,6,11,1943,"[319, 33]"
86,8,4,12,1896,"[160, 394]"
87,0,0,0,1931,"[284, 590]"
90,18,22,40,1923,"[261, 330]"
91,3,5,8,1966,"[385, 214]"
92,0,0,0,1958,"[355, 382]"
93,0,0,0,1962,"[369, 400]"
94,1,18,19,2004,"[541, 567]"
95,0,2,2,1891,"[138, 84]"
96,13,10,23,1958,"[355, 579]"
98,2,1,3,1902,"[183, 572]"
99,4,0,4,1950,"[340, 190]"
100,5,0,5,1896,"[160, 531]"
101,2,15,17,1997,"[521, 567]"
102,5,4,9,1945,"[326, 236]"
103,8,17,25,1985,"[474, 52]"
104,3,22,25,1983,"[459, 344]"
108,0,8,8,1945,"[324, 200]"
109,4,15,19,1890,"[135, 342]"
110,4,0,4,1883,"[107, 629]"
111,1,0,1,1924,"[265, 76]"
112,5,4,9,1891,"[140, 599]"
113,1,5,6,1889,"[129, 58]"
114,0,0,0,2013,"[570, 357]"
116,24,17,41,1892,"[143, 570]"
117,0,2,2,1887,"[122, 21]"
120,10,19,29,1976,"[426, 394]"
121,1,3,4,1920,"[252, 107]"
122,75,9,84,1949,"[338, 25]"
123,0,0,0,1959,"[359, 313]"
124,0,0,0,1888,"[131, 427]"
125,0,0,0,1969,"[396, 114]"
126,18,7,25,1951,"[341, 675]"
127,59,39,98,1950,"[339, 56]"
128,9,22,31,1982,"[455, 478]"
129,0,0,0,1970,"[397, 594]"
131,1,32,33,2009,"[557, 557]"
132,0,0,0,1885,"[115, 291]"
133,5,4,9,1894,"[151, 626]"
134,18,5,23,1987,"[481, 393]"
135,4,7,11,1930,"[281, 345]"
136,9,18,27,1972,"[404, 412]"
138,1,3,4,1902,"[185, 495]"
139,2,2,4,1885,"[113, 149]"
140,0,0,0,1959,"[361, 11]"
141,26,3,29,1911,"[220, 45]"
142,0,1,1,1889,"[129, 192]"
143,263,57,320,1974,"[416, 1]"
144,16,17,33,1968,"[392, 134]"
145,0,0,0,1971,"[400, 1014]"
146,0,0,0,2015,"[575, 116]"
147,30,41,71,1951,"[340, 367]"
151,5,1,6,1913,"[228, 525]"
152,3,6,9,1897,"[165, 180]"
153,14,20,34,1985,"[473, 667]"
154,1,2,3,1901,"[180, 471]"
156,1,0,1,1967,"[387, 426]"
158,28,11,39,1912,"[225, 101]"
159,0,0,0,1941,"[312, 664]"
160,2,5,7,1919,"[250, 14]"
161,7,8,15,1953,"[345, 59]"
163,11,18,29,1916,"[241, 485]"
165,0,0,0,2014,"[572, 8561]"
166,5,18,23,1925,"[267, 333]"
167,4,13,17,1915,"[239, 144]"
168,12,2,14,1893,"[147, 261]"
169,2,0,2,1968,"[391, 956]"
170,17,1,18,1882,"[106, 371]"
171,5,0,5,1951,"[341, 428]"
172,0,3,3,1887,"[123, 215]"
173,0,0,0,1982,"[459, 999]"
174,27,36,63,1980,"[446, 335]"
175,3,26,29,1974,"[419, 318]"
176,20,4,24,1942,"[316, 481]"
177,3,0,3,1891,"[139, 197]"
178,2,5,7,1974,"[419, 59]"
179,0,0,0,2013,"[570, 1084]"
181,1,0,1,1909,"[214, 344]"
183,9,3,12,1895,"[160, 259]"
184,1,2,3,1905,"[196, 407]"
185,0,2,2,1954,"[347, 381]"
186,6,2,8,1929,"[278, 255]"
187,0,0,0,1980,"[445, 907]"
188,1,6,7,1902,"[184, 162]"
189,5,14,19,1908,"[210, 266]"
190,0,0,0,1965,"[379, 645]"
191,3,10,13,1981,"[450, 46]"
192,12,6,18,1907,"[205, 364]"
193,23,33,56,1970,"[397, 159]"
194,2,2,4,1885,"[114, 488]"
195,0,0,0,1985,"[474, 968]"
196,2,6,8,1934,"[292, 332]"
197,0,1,1,1992,"[503, 47]"
198,1,0,1,1966,"[385, 914]"
200,2,9,11,1903,"[188, 726]"
201,5,10,15,1942,"[316, 74]"
202,2,20,22,1990,"[497, 916]"
203,3,5,8,1963,"[372, 284]"
204,3,2,5,1900,"[179, 316]"
206,10,11,21,1913,"[229, 498]"
207,6,7,13,1926,"[272, 567]"
208,1,0,1,1960,"[362, 216]"
212,39,18,57,1971,"[401, 222]"
215,26,12,38,1922,"[258, 549]"
216,0,0,0,1907,"[207, 244]"
217,1,5,6,1923,"[261, 457]"
219,4,8,12,1901,"[179, 641]"
220,1,0,1,1978,"[438, 189]"
221,8,2,10,1883,"[107, 407]"
222,17,8,25,1892,"[146, 499]"
223,3,3,6,1944,"[323, 15]"
224,1,5,6,1989,"[492, 1301]"
225,2,0,2,1883,"[106, 571]"
226,20,36,56,1972,"[406, 498]"
227,5,3,8,1885,"[113, 452]"
228,32,9,41,1962,"[370, 421]"
229,69,48,117,1967,"[388, 218]"
230,62,25,87,1944,"[322, 111]"
231,1,0,1,1969,"[393, 479]"
232,0,0,0,1963,"[374, 107]"
233,2,3,5,1982,"[457, 594]"
234,7,26,33,1987,"[483, 89]"
